Aguardando conexão para iniciar a importação de mensagens:
    Whatsapp nome: Firstin Tecnologia
    Whatsapp Id: 1
    Criação do arquivo de logs: 14/02/2025 00:41:28
    Selecionado Data de inicio de importação: 01/12/2024 00:39:00 
    Selecionado Data final da importação: 14/02/2025 00:38:00 
     

               

Mensagem 193 de 2961
               

Mensagem 194 de 2961
               

Mensagem 195 de 2961
               

Mensagem 196 de 2961
               

Mensagem 197 de 2961
               

Mensagem 198 de 2961
               

Mensagem 199 de 2961
               

Mensagem 200 de 2961
               

Mensagem 201 de 2961
               

Mensagem 202 de 2961
               

Mensagem 203 de 2961
               

Mensagem 204 de 2961
               

Mensagem 205 de 2961
               

Mensagem 206 de 2961
               

Mensagem 207 de 2961
               

Mensagem 208 de 2961
               

Mensagem 209 de 2961
               

Mensagem 210 de 2961
               

Mensagem 211 de 2961
               

Mensagem 212 de 2961
               

Mensagem 213 de 2961
               

Mensagem 214 de 2961
               

Mensagem 215 de 2961
               

Mensagem 216 de 2961
               

Mensagem 217 de 2961
               

Mensagem 218 de 2961
               

Mensagem 219 de 2961
               

Mensagem 220 de 2961
               

Mensagem 221 de 2961
               

Mensagem 222 de 2961
               

Mensagem 223 de 2961
               

Mensagem 224 de 2961
               

Mensagem 225 de 2961
               

Mensagem 226 de 2961
               

Mensagem 227 de 2961
               

Mensagem 228 de 2961
               

Mensagem 229 de 2961
               

Mensagem 230 de 2961
               

Mensagem 231 de 2961
               

Mensagem 232 de 2961
               

Mensagem 233 de 2961
               

Mensagem 234 de 2961
               

Mensagem 235 de 2961
               

Mensagem 236 de 2961
               

Mensagem 237 de 2961
               

Mensagem 238 de 2961
               

Mensagem 239 de 2961
               

Mensagem 240 de 2961
               

Mensagem 241 de 2961
               

Mensagem 242 de 2961
               

Mensagem 243 de 2961
               

Mensagem 244 de 2961
               

Mensagem 245 de 2961
               

Mensagem 246 de 2961
               

Mensagem 247 de 2961
               

Mensagem 248 de 2961
               

Mensagem 249 de 2961
               

Mensagem 250 de 2961
               

Mensagem 251 de 2961
               

Mensagem 252 de 2961
               

Mensagem 253 de 2961
               

Mensagem 254 de 2961
               

Mensagem 255 de 2961
               

Mensagem 256 de 2961
               

Mensagem 257 de 2961
               

Mensagem 258 de 2961
               

Mensagem 259 de 2961
               

Mensagem 260 de 2961
               

Mensagem 261 de 2961
               

Mensagem 262 de 2961
               

Mensagem 263 de 2961
               

Mensagem 264 de 2961
               

Mensagem 265 de 2961
               

Mensagem 266 de 2961
               

Mensagem 267 de 2961
               

Mensagem 268 de 2961
               

Mensagem 269 de 2961
               

Mensagem 270 de 2961
               

Mensagem 271 de 2961
               

Mensagem 272 de 2961
               

Mensagem 273 de 2961
               

Mensagem 274 de 2961
               

Mensagem 275 de 2961
               

Mensagem 276 de 2961
               

Mensagem 277 de 2961
               

Mensagem 278 de 2961
               

Mensagem 279 de 2961
               

Mensagem 280 de 2961
               

Mensagem 281 de 2961
               

Mensagem 282 de 2961
               

Mensagem 283 de 2961
               

